Distance (m),Longitude,Latitude,Elevation (m)
20124.88314,-124.4775927,45.9305127,0
20276.19805,-124.4755093,45.93059607,0
20427.51296,-124.4734258,45.93067944,0
20578.82787,-124.4713423,45.93076281,0
20730.14278,-124.4692589,45.93084619,0
20881.45769,-124.4671754,45.93092956,0
21032.7726,-124.465092,45.93101293,0
21184.08751,-124.4630085,45.9310963,0
21335.40242,-124.460925,45.93117967,0
21486.71733,-124.4588416,45.93126304,0
21638.03224,-124.4567581,45.93134642,0
21789.34716,-124.4546747,45.93142979,0
21940.66207,-124.4525912,45.93151316,0
22091.97698,-124.4505078,45.93159653,0
22243.29189,-124.4484243,45.9316799,0
22394.6068,-124.4463408,45.93176327,0
22545.92171,-124.4442574,45.93184665,0
22697.23662,-124.4421739,45.93193002,0
22848.55153,-124.4400905,45.93201339,0
22999.86644,-124.438007,45.93209676,0
23151.18135,-124.4359235,45.93218013,0
23302.49626,-124.4338401,45.93226351,0
23453.81117,-124.4317566,45.93234688,0
23605.12609,-124.4296732,45.93243025,0
23756.441,-124.4275897,45.93251362,0
23907.75591,-124.4255062,45.93259699,0
24059.07082,-124.4234228,45.93268036,0
24210.38573,-124.4213393,45.93276374,0
24361.70064,-124.4192559,45.93284711,0
24513.01555,-124.4171724,45.93293048,0
24664.33046,-124.4150889,45.93301385,0
24815.64537,-124.4130055,45.93309722,0
24966.96028,-124.410922,45.9331806,0
25118.27519,-124.4088386,45.93326397,0
25269.5901,-124.4067551,45.93334734,0
25420.90502,-124.4046716,45.93343071,0
25572.21993,-124.4025882,45.93351408,0
25723.53484,-124.4005047,45.93359745,0
25874.84975,-124.3984213,45.93368083,0
26026.16466,-124.3963378,45.9337642,0
26177.47957,-124.3942544,45.93384757,0
26328.79448,-124.3921709,45.93393094,0
26480.10939,-124.3900874,45.93401431,0
26631.4243,-124.388004,45.93409769,0
26782.73921,-124.3859205,45.93418106,0
26934.05412,-124.3838371,45.93426443,0
27085.36903,-124.3817536,45.9343478,0
27236.68394,-124.3796701,45.93443117,0
27387.99886,-124.3775867,45.93451454,0
27539.31377,-124.3755032,45.93459792,0
27690.62868,-124.3734198,45.93468129,0
27841.94359,-124.3713363,45.93476466,0
27993.2585,-124.3692528,45.93484803,0
28144.57341,-124.3671694,45.9349314,0
28295.88832,-124.3650859,45.93501477,0
28447.20323,-124.3630025,45.93509815,0
28598.51814,-124.360919,45.93518152,0
28749.83305,-124.3588355,45.93526489,0
28901.14796,-124.3567521,45.93534826,0
29052.46287,-124.3546686,45.93543163,0
29203.77779,-124.3525852,45.93551501,0
29355.0927,-124.3505017,45.93559838,0
29506.40761,-124.3484182,45.93568175,0
29657.72252,-124.3463348,45.93576512,0
29809.03743,-124.3442513,45.93584849,0
29960.35234,-124.3421679,45.93593186,0
30111.66725,-124.3400844,45.93601524,0
30262.98216,-124.338001,45.93609861,0
30414.29707,-124.3359175,45.93618198,0
